año;mes;Dia;hora;New York;Lluvia
2014;5;1;0;moderate rain;1
2014;5;1;1;moderate rain;1
2014;5;1;2;moderate rain;1
2014;5;1;3;heavy intensity rain;1
2014;5;1;4;heavy intensity rain;1
2014;5;1;5;heavy intensity rain;1
2014;5;1;6;heavy intensity rain;1
2014;5;1;7;heavy intensity rain;1
2014;5;1;8;heavy intensity rain;1
2014;5;1;9;heavy intensity rain;1
2014;5;1;10;heavy intensity rain;1
2014;5;1;11;heavy intensity rain;1
2014;5;1;12;heavy intensity rain;1
2014;5;1;13;heavy intensity rain;1
2014;5;1;14;heavy intensity rain;1
2014;5;1;15;heavy intensity rain;1
2014;5;1;16;heavy intensity rain;1
2014;5;1;17;heavy intensity rain;1
2014;5;1;18;heavy intensity rain;1
2014;5;1;19;heavy intensity rain;1
2014;5;1;20;heavy intensity rain;1
2014;5;1;21;heavy intensity rain;1
2014;5;1;22;heavy intensity rain;1
2014;5;1;23;heavy intensity rain;1
2014;5;2;0;heavy intensity rain;1
2014;5;2;1;heavy intensity rain;1
2014;5;2;2;heavy intensity rain;1
2014;5;2;3;light rain;1
2014;5;2;4;light rain;1
2014;5;2;5;light rain;1
2014;5;2;6;light rain;1
2014;5;2;7;light rain;1
2014;5;2;8;light rain;1
2014;5;2;9;light rain;1
2014;5;2;10;light rain;1
2014;5;2;11;light rain;1
2014;5;2;12;light rain;1
2014;5;2;13;few clouds;0
2014;5;2;14;few clouds;0
2014;5;2;15;scattered clouds;0
2014;5;2;16;sky is clear;0
2014;5;2;17;few clouds;0
2014;5;2;18;few clouds;0
2014;5;2;19;scattered clouds;0
2014;5;2;20;scattered clouds;0
2014;5;2;21;sky is clear;0
2014;5;2;22;scattered clouds;0
2014;5;2;23;few clouds;0
2014;5;3;0;few clouds;0
2014;5;3;1;sky is clear;0
2014;5;3;2;sky is clear;0
2014;5;3;3;sky is clear;0
2014;5;3;4;sky is clear;0
2014;5;3;5;sky is clear;0
2014;5;3;6;few clouds;0
2014;5;3;7;few clouds;0
2014;5;3;8;scattered clouds;0
2014;5;3;9;few clouds;0
2014;5;3;10;scattered clouds;0
2014;5;3;11;scattered clouds;0
2014;5;3;12;few clouds;0
2014;5;3;13;few clouds;0
2014;5;3;14;few clouds;0
2014;5;3;15;few clouds;0
2014;5;3;16;sky is clear;0
2014;5;3;17;sky is clear;0
2014;5;3;18;scattered clouds;0
2014;5;3;19;scattered clouds;0
2014;5;3;20;broken clouds;0
2014;5;3;21;scattered clouds;0
2014;5;3;22;broken clouds;0
2014;5;3;23;broken clouds;0
2014;5;4;0;broken clouds;0
2014;5;4;1;scattered clouds;0
2014;5;4;2;scattered clouds;0
2014;5;4;3;few clouds;0
2014;5;4;4;scattered clouds;0
2014;5;4;5;few clouds;0
2014;5;4;6;few clouds;0
2014;5;4;7;sky is clear;0
2014;5;4;8;sky is clear;0
